# .test .cputime .temperature .time_mat1 .time_mat2
261 0.294409  5.844 0.002257 0.002978
262 0.291580  5.844 0.002303 0.002979
263 0.295733  5.357 0.002263 0.003058
264 0.293986  6.331 0.002300 0.003076
265 0.296272  5.844 0.002278 0.003032
266 0.297948  5.844 0.002329 0.003099
267 0.298935  5.844 0.002269 0.003166
268 0.300122  5.844 0.002339 0.003155
269 0.308563  4.870 0.002305 0.003212
270 0.303494  7.305 0.002336 0.003283
271 0.302666  6.818 0.002420 0.003220
272 0.308148  5.357 0.002484 0.003210
273 0.302724  5.357 0.002479 0.003235
274 0.305635  5.357 0.002477 0.003328
275 0.304011  5.844 0.002461 0.003317
276 0.308455  6.331 0.002471 0.003409
277 0.310385  6.331 0.002585 0.003608
278 0.314796  5.844 0.002461 0.003455
279 0.310392  5.844 0.002834 0.004143
280 0.312109  5.844 0.002597 0.003471
281 0.317083  6.331 0.002617 0.003680
282 0.312082  5.844 0.002645 0.003682
283 0.317887  5.844 0.002621 0.003605
284 0.325818  6.818 0.002673 0.004516
285 0.316784  6.331 0.002690 0.003802
286 0.315885  7.305 0.002730 0.003671
287 0.317407  6.331 0.002791 0.003783
288 0.321990  5.844 0.002642 0.003780
289 0.320616  5.844 0.002835 0.003823
290 0.326476  6.818 0.002780 0.003822
291 0.322102  5.844 0.002748 0.003925
292 0.322220  6.331 0.002719 0.003951
293 0.322922  5.844 0.002917 0.004019
294 0.323069  6.331 0.002858 0.004153
295 0.323639  5.357 0.002978 0.003983
296 0.325878  5.844 0.002891 0.004018
297 0.333901  5.844 0.002966 0.004175
298 0.334597  6.331 0.002843 0.004124
299 0.340971  6.331 0.003152 0.004695
300 0.332570  6.331 0.002977 0.004272
301 0.329271  6.331 0.003088 0.004215
302 0.336232  6.818 0.002983 0.004210
303 0.348365  5.844 0.003135 0.004330
304 0.339401  6.331 0.003096 0.004361
305 0.339251  6.331 0.003167 0.004377
306 0.339251  6.818 0.003135 0.004406
307 0.337072  6.331 0.003197 0.004433
308 0.342971  6.331 0.003171 0.004524
309 0.338519  5.844 0.003292 0.004486
310 0.344833  6.331 0.003228 0.004620
311 0.340013  5.357 0.003300 0.004530
312 0.340768  6.818 0.003302 0.004581
313 0.340635  5.844 0.003229 0.004702
314 0.355052  5.844 0.003231 0.004697
315 0.346525  6.331 0.003361 0.004823
316 0.347847  6.818 0.003334 0.004813
317 0.348326  7.305 0.003293 0.004773
318 0.344204  6.818 0.003402 0.005104
319 0.361303  6.331 0.003419 0.004877
320 0.348635  5.844 0.003409 0.004945
321 0.349430  5.844 0.003478 0.004983
322 0.358379  7.305 0.003386 0.004913
323 0.364378  6.818 0.003373 0.005256
324 0.353222  5.844 0.003378 0.005108
325 0.352890  7.305 0.003606 0.005028
326 0.354620  6.331 0.003520 0.005082
327 0.355754  6.331 0.003470 0.005183
328 0.371893  7.305 0.003697 0.006057
329 0.359588  6.818 0.003469 0.005179
330 0.369840  6.331 0.003821 0.005963
331 0.368784  7.305 0.003565 0.005326
332 0.360824  6.331 0.003720 0.005399
333 0.359855  6.818 0.003582 0.005393
334 0.361744  7.305 0.003606 0.005376
335 0.379459  7.305 0.003671 0.005518
336 0.366175  6.818 0.003755 0.005535
337 0.362836  5.844 0.003672 0.005566
338 0.366435  6.818 0.003698 0.005632
339 0.372018  7.305 0.003673 0.005650
340 0.367956  6.818 0.003810 0.005753
341 0.377985  6.818 0.003699 0.005877
342 0.371108  6.818 0.003773 0.005809
343 0.370453  6.818 0.003725 0.005903
344 0.373525  7.792 0.003813 0.005895
345 0.371522  6.818 0.003825 0.005906
346 0.374135  6.331 0.003863 0.005930
347 0.376750  6.818 0.003877 0.005929
348 0.375998  5.844 0.003895 0.006002
349 0.374976  6.331 0.003964 0.006029
350 0.387019  7.792 0.004036 0.006016
351 0.384676  6.331 0.003871 0.006210
352 0.380201  6.818 0.003971 0.006268
353 0.379156  6.818 0.003945 0.006253
